NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
Stanza matrimoniale in Vaticano,IT,Italy,41.90903889,12.44541671,Private room,2,0.5,1,1,$60.00 
B&B LostInTrastevere-Vacanze Romane,IT,Italy,41.88901721,12.4672799,Private room,2,0.5,1,1,$69.00 
In the heart of Rome ...Trastevere!,IT,Italy,41.89107658,12.46845896,Private room,3,1,1,2,$90.00 
RED DOUBLE ROOM WITH TERRACE,IT,Italy,41.90954076,12.44797913,Private room,2,1,1,1,$60.00 
LUXURY APARTMENT IMPERIAL FORUM,IT,Italy,41.89104862,12.48498543,Entire home/apt,4,1,1,2,$120.00 
"GHQ,Roma, Stanza Cornelia in B&b.",IT,Italy,41.90117671,12.49286405,Private room,2,1,1,2,$71.00 
"Walking Vatican, Navona, Pantheon",IT,Italy,41.90067286,12.46874671,Entire home/apt,8,2,3,4,$119.00 
Il Ballatoio,IT,Italy,41.87919285,12.47461553,Entire home/apt,2,1,1,1,$53.00 
Triple room shared bathroom,IT,Italy,41.90275823,12.4924099,Private room,3,0,1,3,$120.00 
Luxury house in the center of Rome,IT,Italy,41.90644893,12.47161116,Entire home/apt,6,2,2,2,$200.00 
CENTRALISSIMO Trastevere Loft del Mercante,IT,Italy,41.88614053,12.4759894,Entire home/apt,3,1,1,2,$90.00 
Sunny quiet Testaccio apartment,IT,Italy,41.88136902,12.47403001,Entire home/apt,4,1,1,2,$120.00 
Trastevere Suite Vicolo 1,IT,Italy,41.89028526,12.47002565,Entire home/apt,4,1,0,3,$40.00 
Cozy studio in Trastevere,IT,Italy,41.88912632,12.46819462,Entire home/apt,2,1,1,1,$95.00 
Elegante appartamento centrale,IT,Italy,41.9082624,12.48786236,Entire home/apt,5,2,1,4,$110.00 
Lovely cozy studio in Rome's center,IT,Italy,41.89357692,12.46562508,Entire home/apt,2,1,0,2,$60.00 
Colosseo - Penthouse with Terrace F.,IT,Italy,41.88672066,12.49771936,Entire home/apt,2,1,1,1,$116.00 
Very central cozy banchi 3,IT,Italy,41.89816894,12.4661626,Entire home/apt,6,2,2,2,$149.00 
Vatican Palace,IT,Italy,41.91080535,12.448688,Entire home/apt,7,2,2,4,$99.00 
Rome in Trastevere apartments,IT,Italy,41.89232864,12.46739791,Entire home/apt,2,1,1,1,$40.00 
Trionfal Apartment  * Roma centro - Musei Vaticani,IT,Italy,41.91429384,12.45019129,Entire home/apt,4,1,2,4,$63.00 
Le Stanze di Elle San Giovanni 3 Stazione Termini,IT,Italy,41.88795407,12.50888981,Private room,2,1,1,1,$90.00 
Modern Amenities! - Amazing Location!,IT,Italy,41.88865103,12.46950549,Entire home/apt,3,1,2,2,$95.00 
Gordon's Apartment,IT,Italy,41.89208897,12.51076604,Entire home/apt,4,1,2,3,$70.00 
Cozy Apartment in Trastevere WiFi - A/C,IT,Italy,41.89047281,12.46924267,Entire home/apt,2,1,1,1,$63.00 
Colosseum Studio,IT,Italy,41.89091247,12.50027619,Entire home/apt,2,1,0,1,$65.00 
Spanish Steps Charme Apartment Trevi Fountain,IT,Italy,41.90289928,12.48681607,Entire home/apt,9,2,3,9,$300.00 
"Camera "" Gold "" Centro #Vaticano",IT,Italy,41.90982013,12.45153522,Private room,4,1,1,4,$59.00 
Cozy apartment in front of Vatican!,IT,Italy,41.9088411,12.45122298,Entire home/apt,3,1,1,3,$80.00 
casa Ele-Fanti,IT,Italy,41.88871966,12.50762901,Entire home/apt,4,1,1,3,$70.00 
