NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
Very best city centre location!,IE,Ireland,53.34038389,-6.272443157,Entire home/apt,3,1,1,1,$99.00 
Beautiful Dublin 1 Bed Apartment No. 4,IE,Ireland,53.35095667,-6.25436081,Entire home/apt,4,1,1,2,$200.00 
Spacious and stylish two bed apt,IE,Ireland,53.33931827,-6.236298956,Entire home/apt,4,2,2,2,$130.00 
"Full appt, city center",IE,Ireland,53.3450395,-6.254236654,Entire home/apt,2,1,1,1,$125.00 
Central home base too,IE,Ireland,53.34779631,-6.269877779,Entire home/apt,6,1,2,3,$165.00 
Gorgeous Apartment in City Centre ,IE,Ireland,53.34817861,-6.268718416,Entire home/apt,3,1,1,1,$130.00 
Luxury Living in Temple Bar,IE,Ireland,53.34608461,-6.262486612,Entire home/apt,2,1,1,1,$99.00 
"Large, Quiet 2-Bed Apartment in central Dublin",IE,Ireland,53.35922177,-6.239660034,Entire home/apt,4,1,2,2,$89.00 
Modern apt in the heart of Dublin's Tech Hub,IE,Ireland,53.34080634,-6.236781231,Entire home/apt,3,1,1,1,$130.00 
Cozy 1BD in Dublin's Liberties,IE,Ireland,53.34217734,-6.280566193,Entire home/apt,4,1,1,2,$85.00 
Bright comfy studio near St Patrick Cathedral,IE,Ireland,53.33887736,-6.275040923,Entire home/apt,2,1,0,1,$98.00 
Fabulous Georgian Duplex Flat,IE,Ireland,53.34002157,-6.25335499,Entire home/apt,4,1,2,2,$157.00 
Quiet and warm city centre home,IE,Ireland,53.33442678,-6.274218608,Entire home/apt,7,1.5,3,5,$160.00 
Cosy home near O'Connell Street,IE,Ireland,53.3573016,-6.250549705,Entire home/apt,5,1.5,2,4,$105.00 
Smart Georgian building city centre,IE,Ireland,53.33387458,-6.260154741,Entire home/apt,4,,1,1,$95.00 
Lovely flat near city centre,IE,Ireland,53.33067227,-6.253995117,Entire home/apt,5,1,1,4,$120.00 
